,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
92,7433657413758304273,a.marie.911,GO,0,11,@a.marie.911,LEVI,0,0,60,0,11,50%,Y,1.00,31,40,9,"93,580",,"92,891",31%,NR,"71,331","94,934",2,2,14,0,0,0,-,0,FALSE,FALSE
92,7595741738505879565,jamjamish,GO,2,1,,BRYTON,0,0,475,0,10,45%,Y,0.52,40,60,20,"93,480",,"93,480",#DIV/0!,NR,,,,,10,0,0,0,-,0,FALSE,FALSE
94,7449907460980310033,tattedandspicy,GO,5,14,@tattedandspicy,CARRINGTON,0,0,128,0,31,141%,Y,1.00,251,80,-,"92,241",,"78,770",-42%,NR,"158,808","388,341",5,5,41,0,0,0,1x,0,FALSE,FALSE
95,7473189073168121873,bridgetryan,GO,2,12,@bridget0274,LEVI,0,0,767,3K,18,82%,Y,1.00,41,60,19,"91,968",,"91,968",56%,NR,"59,033","24,699",0,-1,13,"15,000",0,0,-,0,FALSE,FALSE
96,7359137865995091974,siren_ofthe_stars,GO,0,25,@siren_ofthe_stars,LEVI,0,0,15,9K,10,45%,Y,1.00,25,40,15,"85,253",,"82,754",2%,NR,"83,206","28,044",1,0,12,"13,400",0,"10,400",-,0,FALSE,FALSE
97,7359134701724041221,yourfavderek,GO,3,41,@officialderek,LEVI,0,0,56,13K,22,100%,Y,1.00,67,80,13,"84,263",,"79,640",-35%,NR,"130,361","192,235",3,4,28,"15,000",0,0,-,0,FALSE,FALSE
98,7538007038555897911,celia.silva072,GO,2,6,@celiasilva072,CARRINGTON,0,0,54,5K,19,86%,Y,1.00,42,60,18,"83,608",,"80,107",-53%,NR,"177,248","105,570",4,4,30,0,0,0,1x,0,FALSE,FALSE
99,7359134725187207174,g_money0805,GO,2,41,@g_money0805,LEVI,0,0,153,0,18,82%,Y,1.00,47,60,13,"80,809",,"80,809",2773%,NR,"2,813","13,941",-1,-1,10,0,0,0,-,0,FALSE,FALSE
100,7546017169939709965,ardy.afshar,GO,-1,5,@ardy.afshar,BRYTON,0,0,41,0,6,27%,Y,1.00,11,15,4,"78,009",✧,"69,326",-77%,NR,"336,331","734,169",2,4,22,"17,000",0,"17,000",-,0,FALSE,FALSE
101,7359139572674232325,moji.music,GO,0,22,@mojigallomusic,LEVI,0,0,28,1K,9,41%,Y,1.00,24,40,16,"76,144",,"73,911",115%,NR,"35,458","42,391",-1,0,5,"7,750",0,"7,250",-,0,FALSE,FALSE
102,7359135442542952454,lil.ginga5,GO,1,32,@autumnanddaisy,LEVI,0,0,77,11K,19,86%,Y,1.00,32,40,8,"74,510",,"74,510",11%,NR,"67,156","30,825",1,0,12,"1,500",0,"1,500",-,0,FALSE,FALSE
